total_completed_flows,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,mean_throughput_mbps,total_throughput_mbps,packet_loss_rate,mean_jain_fairness,mean_peak_utilization,max_peak_utilization,mean_path_stretch,max_path_stretch,route_churn_rate,recovery_time_ticks,total_queries,fallback_count,fallback_ratio,mean_compute_latency_us,p95_compute_latency_us,mean_env_overhead_us,mean_path_solve_us,eval_seed,traffic_model,failure_model,algorithm
225,4.733333333333333,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.11823067767963095,0.625743969208035,1.0,1.0,1.0,0.0,,250,0,0.0,91.97240000000001,146.24999999999997,0.0,91.97240000000001,42,uniform,nominal,static_dijkstra
225,4.8,5.5,7.0,7.0,7.0,36.172989120000004,904.324728,0.00657576765325352,0.11805161365894218,0.6502476282739417,1.0,1.027120315581854,3.0,0.013313609467455622,,250,0,0.0,95.21719999999999,171.13,0.0,95.21719999999999,42,uniform,nominal,dynamic_dijkstra
225,4.733333333333333,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.11802094187539718,0.6296545505436205,1.0,1.0,1.0,0.0,,250,0,0.0,197.85959999999997,411.03999999999996,0.0,197.85959999999997,42,uniform,nominal,ecmp
225,4.733333333333333,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.1181298186478086,0.625743969208035,1.0,1.0,1.0,0.003003003003003003,,250,0,0.0,4119.915999999999,4544.959999999998,0.0,4119.915999999999,42,uniform,nominal,ai_xgboost
225,4.733333333333333,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.11823067767963095,0.625743969208035,1.0,1.0,1.0,0.0,,250,230,0.92,4633.4108,6561.969999999997,0.0,4633.4108,42,uniform,nominal,rl_ppo
225,4.742222222222222,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.11864860735885323,0.6272531933101423,1.0,1.0031437125748504,2.0,0.005988023952095809,0.0,252,0,0.0,169.43095238095236,409.56999999999994,0.0,169.43095238095236,42,uniform,single_link_cut,static_dijkstra
225,4.808888888888889,5.5,7.0,7.0,7.0,36.172989120000004,904.324728,0.00657576765325352,0.11811282072414031,0.6517568523760492,1.0,1.0305801376597836,3.0,0.016224188790560472,0.0,251,0,0.0,176.20278884462152,343.45000000000005,0.0,176.20278884462152,42,uniform,single_link_cut,dynamic_dijkstra
225,4.742222222222222,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.118534111695491,0.6311637746457279,1.0,1.0031437125748504,2.0,0.005988023952095809,0.0,252,0,0.0,365.59404761904767,784.4250000000001,0.0,365.59404761904767,42,uniform,single_link_cut,ecmp
225,4.742222222222222,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.11854638851288382,0.6272531933101423,1.0,1.0031437125748504,2.0,0.008982035928143712,0.0,252,0,0.0,3871.163492063492,4289.764999999999,0.0,3871.163492063492,42,uniform,single_link_cut,ai_xgboost
225,4.742222222222222,5.5,7.0,7.0,7.0,36.2277344,905.69336,0.005108323831242874,0.11864860735885323,0.6272531933101423,1.0,1.0031437125748504,2.0,0.005988023952095809,0.0,252,233,0.9246031746031746,4697.144841269841,6645.344999999999,0.0,4697.144841269841,42,uniform,single_link_cut,rl_ppo
453,4.129139072847682,3.5,6.5,6.5,7.0,72.59059808,1814.7649520000002,0.0,0.13258640156006496,0.8607919727092415,1.0,1.0,1.0,0.0,,500,0,0.0,70.9142,113.01499999999999,0.0,70.9142,42,hotspot,nominal,static_dijkstra
451,4.248337028824833,3.5,6.5,7.0,7.5,72.33544959999999,1808.3862399999998,0.0,0.13636382357778654,0.8567650037357022,1.0,1.0497557997557998,3.0,0.09432234432234432,,500,0,0.0,78.68180000000001,131.7049999999999,0.0,78.68180000000001,42,hotspot,nominal,dynamic_dijkstra
453,4.129139072847682,3.5,6.5,6.5,7.0,72.59059808,1814.7649520000002,0.0,0.13352524619020786,0.8387353673722383,1.0,1.0,1.0,0.0,,500,0,0.0,178.95640000000003,412.6849999999997,0.0,178.95640000000003,42,hotspot,nominal,ecmp
