scenario_id,topology,topology_nodes,topology_edges,eval_seed,failed_edge,failure_stratum,routing_policy,model,model_hash,git_sha,mae,rmse,r2,top3_recall,top5pct_recall,severe_fn_rate,t_encode_us,t_inference_us,t_decode_us,t_online_total_us,t_oracle_us,mean_true_delta_u,max_true_delta_u
fat_tree_high_betweenness_cut_core_0_pod_1_agg_0_s42,fat_tree,36,96,42,core_0->pod_1_agg_0,high_betweenness,shortest_path_igp_reroute,Edge-Only MLP,66446d049aba4865dccb8c7c1810b5427a20430f4ee1c4a6b8a684fbdecc3336,9fa321fae0ee120b266cf4bf3330173175c35b10,0.004230707883834839,0.00590695533901453,-33.45518112182617,0.0,0.0,0.0,320.8,219.9,250.9,791.6,2628.8,7.190239557530731e-05,0.006830728147178888
fat_tree_high_betweenness_cut_core_0_pod_1_agg_0_s42,fat_tree,36,96,42,core_0->pod_1_agg_0,high_betweenness,shortest_path_igp_reroute,GCN,e9c2c57b44b82b72076aaaa1f30fbc9a20a316e909a3158b0db01249876d0a49,9fa321fae0ee120b266cf4bf3330173175c35b10,0.021340014412999153,0.03516323119401932,-1219.9691162109375,0.3333333333333333,0.5,0.0,320.8,383.7,122.7,827.2,2628.8,7.190239557530731e-05,0.006830728147178888
fat_tree_high_betweenness_cut_core_0_pod_1_agg_0_s42,fat_tree,36,96,42,core_0->pod_1_agg_0,high_betweenness,shortest_path_igp_reroute,GraphSAGE,adec134de00bd16b70ff7568cde3c60192fef8c1fd3a09e2d110ece92259dae4,9fa321fae0ee120b266cf4bf3330173175c35b10,0.13896192610263824,0.20103849470615387,-39909.35546875,0.0,0.0,0.0,320.8,287.6,110.4,718.8000000000001,2628.8,7.190239557530731e-05,0.006830728147178888
fat_tree_high_betweenness_cut_core_2_pod_2_agg_1_s42,fat_tree,36,96,42,core_2->pod_2_agg_1,high_betweenness,shortest_path_igp_reroute,Edge-Only MLP,66446d049aba4865dccb8c7c1810b5427a20430f4ee1c4a6b8a684fbdecc3336,9fa321fae0ee120b266cf4bf3330173175c35b10,0.004176745191216469,0.005737147759646177,-358.7505798339844,0.0,0.0,0.0,266.3,109.8,157.3,533.4000000000001,2444.4,1.793850060494151e-05,0.0017041575629264116
fat_tree_high_betweenness_cut_core_2_pod_2_agg_1_s42,fat_tree,36,96,42,core_2->pod_2_agg_1,high_betweenness,shortest_path_igp_reroute,GCN,e9c2c57b44b82b72076aaaa1f30fbc9a20a316e909a3158b0db01249876d0a49,9fa321fae0ee120b266cf4bf3330173175c35b10,0.021393612027168274,0.03524261340498924,-13574.1796875,0.0,0.0,0.0,266.3,304.8,107.5,678.6,2444.4,1.793850060494151e-05,0.0017041575629264116
fat_tree_high_betweenness_cut_core_2_pod_2_agg_1_s42,fat_tree,36,96,42,core_2->pod_2_agg_1,high_betweenness,shortest_path_igp_reroute,GraphSAGE,adec134de00bd16b70ff7568cde3c60192fef8c1fd3a09e2d110ece92259dae4,9fa321fae0ee120b266cf4bf3330173175c35b10,0.1390152871608734,0.20112812519073486,-442134.1875,0.0,0.0,0.0,266.3,262.7,102.6,631.6,2444.4,1.793850060494151e-05,0.0017041575629264116
fat_tree_medium_betweenness_cut_pod_2_agg_0_pod_2_edge_0_s42,fat_tree,36,96,42,pod_2_agg_0->pod_2_edge_0,medium_betweenness,shortest_path_igp_reroute,Edge-Only MLP,66446d049aba4865dccb8c7c1810b5427a20430f4ee1c4a6b8a684fbdecc3336,9fa321fae0ee120b266cf4bf3330173175c35b10,0.004509999882429838,0.005963469855487347,-14.048975944519043,0.0,0.0,0.0,258.8,103.8,127.8,490.40000000000003,2419.0,0.00012529852392617613,0.011903359554708004
fat_tree_medium_betweenness_cut_pod_2_agg_0_pod_2_edge_0_s42,fat_tree,36,96,42,pod_2_agg_0->pod_2_edge_0,medium_betweenness,shortest_path_igp_reroute,GCN,e9c2c57b44b82b72076aaaa1f30fbc9a20a316e909a3158b0db01249876d0a49,9fa321fae0ee120b266cf4bf3330173175c35b10,0.02227689139544964,0.0358428917825222,-542.64453125,0.0,0.0,0.0,258.8,294.6,109.8,663.2,2419.0,0.00012529852392617613,0.011903359554708004
fat_tree_medium_betweenness_cut_pod_2_agg_0_pod_2_edge_0_s42,fat_tree,36,96,42,pod_2_agg_0->pod_2_edge_0,medium_betweenness,shortest_path_igp_reroute,GraphSAGE,adec134de00bd16b70ff7568cde3c60192fef8c1fd3a09e2d110ece92259dae4,9fa321fae0ee120b266cf4bf3330173175c35b10,0.14179126918315887,0.20409657061100006,-17626.078125,0.0,0.0,0.0,258.8,256.0,101.6,616.4,2419.0,0.00012529852392617613,0.011903359554708004
fat_tree_low_betweenness_cut_pod_2_host_0_0_pod_2_edge_0_s42,fat_tree,36,96,42,pod_2_host_0_0->pod_2_edge_0,low_betweenness,shortest_path_igp_reroute,Edge-Only MLP,66446d049aba4865dccb8c7c1810b5427a20430f4ee1c4a6b8a684fbdecc3336,9fa321fae0ee120b266cf4bf3330173175c35b10,0.005121860187500715,0.007975663989782333,-1.384687900543213,0.3333333333333333,0.25,0.0,281.8,127.3,147.1,556.2,2326.3,-0.0009139126050285995,0.0
fat_tree_low_betweenness_cut_pod_2_host_0_0_pod_2_edge_0_s42,fat_tree,36,96,42,pod_2_host_0_0->pod_2_edge_0,low_betweenness,shortest_path_igp_reroute,GCN,e9c2c57b44b82b72076aaaa1f30fbc9a20a316e909a3158b0db01249876d0a49,9fa321fae0ee120b266cf4bf3330173175c35b10,0.022783618420362473,0.03615442290902138,-48.00277328491211,0.0,0.0,0.0,281.8,321.0,112.4,715.1999999999999,2326.3,-0.0009139126050285995,0.0
